jid;timestamp;duration;
02;1592409306.604957;0.188828;
07;1592409306.6429;0.241041;
012;1592409306.701305;0.845194;
013;1592409306.701305;0.845194;
014;1592409306.701305;0.845194;
015;1592409306.701305;0.845194;
016;1592409306.701309;0.841141;
017;1592409306.701309;0.841141;
018;1592409306.701309;0.841141;
019;1592409306.701443;0.70715;
020;1592409306.701443;0.70715;
021;1592409306.701445;0.705004;
027;1592409306.796;0.153065;
035;1592409306.844234;0.893116;
037;1592409306.929926;0.198126;
041;1592409306.975975;0.159979;
050;1592409307.364261;0.838995;
053;1592409307.404257;0.838995;
055;1592409307.430253;0.839949;
059;1592409307.53035;0.739098;
061;1592409307.617644;0.440836;
070;1592409308.074213;0.843048;
072;1592409308.130755;0.296116;
076;1592409308.178609;0.442028;
077;1592409308.178609;0.442028;
078;1592409308.178802;0.248909;
0104;1592409308.603234;0.792027;
0105;1592409308.603234;1.788855;
0106;1592409308.603234;2.815962;
0107;1592409308.603234;3.809929;
0108;1592409308.603234;1.788855;
0109;1592409308.604369;0.653982;
0110;1592409308.604369;1.681089;
0111;1592409308.604369;2.675056;
0112;1592409308.604369;3.654003;
0113;1592409308.604369;2.675056;
0114;1592409308.604369;3.654003;
0115;1592409308.604369;4.654169;
0116;1592409308.604369;1.681089;
0117;1592409308.604369;2.675056;
0118;1592409308.605324;0.725985;
0119;1592409308.605324;1.719952;
0120;1592409308.605324;2.698898;
0121;1592409308.605324;3.699064;
0122;1592409308.605324;2.698898;
0123;1592409308.605324;3.699064;
0124;1592409308.605324;4.693031;
0125;1592409308.605324;1.719952;
0126;1592409308.605324;2.698898;
0127;1592409308.60628;0.763893;
0128;1592409308.60628;1.74284;
0129;1592409308.60628;2.743006;
0130;1592409308.60628;3.736973;
0131;1592409308.60628;1.74284;
0132;1592409308.60628;2.743006;
0133;1592409308.607324;0.699043;
0134;1592409308.607324;1.699209;
0135;1592409308.607324;2.693176;
0136;1592409308.607324;1.699209;
0137;1592409308.607324;2.693176;
0138;1592409308.608398;0.625134;
0139;1592409308.608398;1.619101;
0140;1592409308.608398;1.619101;
0141;1592409308.609375;0.642061;
0170;1592409308.644375;0.648022;
0171;1592409308.644375;1.670837;
0172;1592409308.644375;2.645969;
0173;1592409308.644375;2.645969;
0174;1592409308.644375;3.681898;
0175;1592409308.644375;1.670837;
0176;1592409308.644375;2.645969;
0177;1592409308.645274;0.771999;
0178;1592409308.645274;1.747131;
0179;1592409308.645274;2.78306;
0180;1592409308.645274;2.78306;
0181;1592409308.645274;3.746986;
0182;1592409308.645274;4.747152;
0183;1592409308.645274;1.747131;
0184;1592409308.646321;0.699997;
0185;1592409308.646321;1.735926;
0186;1592409308.646321;2.699852;
0187;1592409308.646321;3.700018;
0188;1592409308.646321;1.735926;
0189;1592409308.647177;0.880003;
0190;1592409308.647177;1.843929;
0191;1592409308.647177;2.844095;
0192;1592409308.647177;2.844095;
0193;1592409308.647177;1.843929;
0194;1592409308.647177;2.844095;
0195;1592409308.648373;0.648022;
0196;1592409308.648373;1.648188;
0197;1592409308.648373;1.648188;
0198;1592409308.648373;1.648188;
0199;1592409308.649128;0.893116;
0200;1592409308.649128;0.893116;
0201;1592409308.649274;0.746965;
0203;1592409308.670181;0.839949;
0206;1592409308.825573;0.452995;
0212;1592409308.863376;0.632048;
0217;1592409308.971367;0.642061;
0218;1592409308.971367;1.724005;
0220;1592409308.983756;0.239849;
0224;1592409309.033489;0.504017;
0225;1592409309.036506;0.677109;
