;;size;min;max;mean;stdev;quantiles:0.05;quantiles:0.25;quantiles:0.50;quantiles:0.75;quantiles:0.95;
mac.txreq;D;646;0.030041;0.051975;0.031634;0.00356;0.030041;0.030041;0.030994;0.030994;0.036001;
mac.mux;D;646;0.000954;2.002001;1.023683;0.81103;0.001907;0.003099;1.004934;1.835108;2.001047;
rlc.tx.am;D;2;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
rlc.seg.am;D;2;0.000954;0.000954;0.000954;0.0;0.000954;0.000954;0.000954;0.000954;0.000954;
ip;D;644;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
pdcp.in;D;640;0.0;1.998901;0.117065;0.389955;0.0;0.0;0.001907;0.005007;0.95793;
pdcp.tx;D;640;0.0;0.004053;0.000464;0.000544;0.0;0.0;0.0;0.000954;0.001192;
rlc.tx.um;D;620;0.001192;2.977133;0.753634;0.631425;0.050879;0.174046;0.736952;0.94986;1.953042;
rlc.seg.um;D;620;0.0;0.003099;0.0015;0.000831;0.0;0.000954;0.001192;0.002146;0.003099;
phy.in.proc;U;700;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
mac.demux;U;698;0.0;2.001047;0.185151;0.502311;0.0;0.000954;0.001192;0.002146;1.844883;
rlc.rx.um;U;698;0.0;0.001192;0.00022;0.000412;0.0;0.0;0.0;0.0;0.000954;
rlc.unseg.um;U;784;0.0;0.090122;0.010119;0.016985;0.0;0.0;0.000954;0.008285;0.050879;
pdcp.rx;U;784;0.000954;0.011921;0.004159;0.001991;0.000954;0.002861;0.004053;0.005007;0.007153;
ip;U;644;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
